"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"35186-5504","2B","Ian","Ian Kinsler","Kinsler","5.981817996863163","33","2400","NYM@SDP","SDP","NYM","","","","",""
"35186-5608","OF","Ben","Ben Zobrist","Zobrist","6.767999877929688","25","2400","MIA@CHC","CHC","MIA","","","","","1"
"35186-80459","OF","Franchy","Franchy Cordero","Cordero","5.100000169542101","9","2400","NYM@SDP","SDP","NYM","IL","Elbow","","",""
"35186-16981","C","Yan","Yan Gomes","Gomes","7.182608562967052","23","2400","WAS@MIL","WAS","MIL","","","","",""
"35186-38561","OF","Chris","Chris Taylor","Taylor","5.7971426827566965","35","2400","ATL@LOS","LOS","ATL","","","","",""
"35186-38571","3B","Travis","Travis Shaw","Shaw","6.176470588235294","34","2400","WAS@MIL","MIL","WAS","","","","","5"
"35186-5904","1B","Chris","Chris Davis","Davis","6.181481255425347","27","2400","BOS@BAL","BAL","BOS","","","","","7"
"35186-70435","OF","Ben","Ben Gamel","Gamel","5.793749809265137","32","2400","WAS@MIL","MIL","WAS","","","","","1"
"35186-68499","OF","Johan","Johan Camargo","Camargo","6.022222448278357","27","2400","ATL@LOS","ATL","LOS","","","","",""
"35186-52161","3B","Rio","Rio Ruiz","Ruiz","6.306250095367432","32","2400","BOS@BAL","BAL","BOS","","","","","5"
"35186-68627","1B","Tyler","Tyler White","White","5.7894736842105265","19","2300","KAN@HOU","HOU","KAN","","","","",""
"35186-54401","OF","Manuel","Manuel Margot","Margot","5.75","32","2300","NYM@SDP","SDP","NYM","","","","",""
"35186-6276","1B","Neil","Neil Walker","Walker","5.9258063531691025","31","2300","MIA@CHC","MIA","CHC","","","","",""
"35186-21637","OF","Jackie","Jackie Bradley Jr.","Bradley Jr.","5.210345038052263","29","2300","BOS@BAL","BOS","BAL","","","","","9"
"35186-13501","OF","Chris","Chris Owings","Owings","5.793548583984375","31","2300","KAN@HOU","KAN","HOU","","","","","0"
"35186-5399","3B","Martin","Martin Prado","Prado","6.107692425067608","26","2300","MIA@CHC","MIA","CHC","","","","",""
"35186-62780","SS","Wilmer","Wilmer Difo","Difo","5.868965412008351","29","2300","WAS@MIL","WAS","MIL","","","","",""
"35186-38247","2B","Hanser","Hanser Alberto","Alberto","5.324000244140625","25","2300","BOS@BAL","BAL","BOS","","","","","0"
"35186-13694","3B","Marwin","Marwin Gonzalez","Gonzalez","5.978571210588727","28","2300","MIN@TOR","MIN","TOR","","","","","6"
"35186-21890","SS","Orlando","Orlando Arcia","Arcia","6.8371429443359375","35","2300","WAS@MIL","MIL","WAS","","","","","8"
"35186-38276","OF","Albert","Albert Almora Jr.","Almora Jr.","5.56206907075027","29","2300","MIA@CHC","CHC","MIA","","","","","0"
"35186-101842","2B","Ty","Ty France","France","5.279999923706055","10","2300","NYM@SDP","SDP","NYM","","","","",""
"35186-52878","OF","Billy","Billy McKinney","McKinney","5.953571319580078","28","2300","MIN@TOR","TOR","MIN","","","","","0"
"35186-17145","SS","Greg","Greg Garcia","Garcia","4.495454614812678","22","2300","NYM@SDP","SDP","NYM","","","","",""
"35186-53007","3B","Daniel","Daniel Robertson","Robertson","6.350000108991351","28","2300","ARI@TAM","TAM","ARI","","","","","9"
"35186-38955","OF","Joey","Joey Rickard","Rickard","5.681250095367432","32","2200","BOS@BAL","BAL","BOS","","","","","0"
"35186-37983","C","Mike","Mike Zunino","Zunino","7.960869830587636","23","2200","ARI@TAM","TAM","ARI","","","","","8"
"35186-38004","C","Austin","Austin Hedges","Hedges","7.086363358931108","22","2200","NYM@SDP","SDP","NYM","","","","",""
"35186-12505","2B","Eduardo","Eduardo Nunez","Nunez","5.473684210526316","19","2200","BOS@BAL","BOS","BAL","","","","","8"
"35186-60655","SS","Willy","Willy Adames","Adames","6.806666564941406","30","2200","ARI@TAM","TAM","ARI","","","","","0"
"35186-85320","C","Michael","Michael Perez","Perez","6.146666463216146","15","2200","ARI@TAM","TAM","ARI","","","","","0"
"35186-5532","1B","Steve","Steve Pearce","Pearce","3.706249952316284","16","2200","BOS@BAL","BOS","BAL","","","","","7"
"35186-13892","2B","Hernan","Hernan Perez","Perez","5.815999755859375","25","2200","WAS@MIL","MIL","WAS","","","","","0"
"35186-82655","C","Danny","Danny Jansen","Jansen","4.392307574932392","26","2200","MIN@TOR","TOR","MIN","","","","","9"
"35186-13034","SS","Charlie","Charlie Culberson","Culberson","4.561111026340061","18","2200","ATL@LOS","ATL","LOS","","","","",""
"35186-13060","SS","Adeiny","Adeiny Hechavarria","Hechavarria","7.599999904632568","2","2200","NYM@SDP","NYM","SDP","","","","",""
"35186-68481","OF","Roman","Roman Quinn","Quinn","3.1000001089913503","7","2200","PHI@STL","PHI","STL","IL","Groin","","",""
"35186-101276","3B","Jon","Jon Berti","Berti","5.183333396911621","12","2200","MIA@CHC","MIA","CHC","","","","",""
"35186-13253","C","Martin","Martin Maldonado","Maldonado","5.351851851851852","27","2200","KAN@HOU","KAN","HOU","","","","","8"
"35186-52170","1B","Dominic","Dominic Smith","Smith","3.2206897077889276","29","2200","NYM@SDP","NYM","SDP","","","","",""
"35186-13422","OF","Jake","Jake Marisnick","Marisnick","5.5625","24","2100","KAN@HOU","HOU","KAN","","","","",""
"35186-5265","C","Matt","Matt Wieters","Wieters","4.15","10","2100","PHI@STL","STL","PHI","","","","",""
"35186-13535","SS","Ehire","Ehire Adrianza","Adrianza","4.25","16","2100","MIN@TOR","MIN","TOR","","","","","0"
"35186-12516","1B","Lucas","Lucas Duda","Duda","6.088888804117839","18","2100","KAN@HOU","KAN","HOU","IL","Back","","","0"
"35186-13593","OF","Keon","Keon Broxton","Broxton","2.9642857142857144","28","2100","NYM@SDP","NYM","SDP","","","","",""
"35186-79205","SS","Yairo","Yairo Munoz","Munoz","2.353846183189979","13","2100","PHI@STL","STL","PHI","","","","",""
